file	transcription
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22211922.wav	páginas oficiales
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_26174694.wav	el obispo local juan le sometió a duras pruebas para comprobar su fe
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22103556.wav	escribió para la revue de france
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22044774.wav	tres
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29051421.wav	el palacio cuenta con tres pisos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27127178.wav	la longitud es una magnitud fundamental creada para medir la distancia entre dos puntos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_24847128.wav	margen distal o externo es curvo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_33021465.wav	el tema es ampliamente discutido y muy complejo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27222928.wav	florece densamente en febrero a mayo con flores de color blanco
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_24688517.wav	actualmente está clasificado como una especie vulnerable
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20313943.wav	la floración se produce en la primavera y el verano temprano
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19726637.wav	limita con la pequeña isla de rona sur por su costa norte
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19605175.wav	producción musical edwin arellano
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27317943.wav	se casó en segundas nupcias con la abogada olga paulina olivieri aste
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27475184.wav	jugaba de delantero extremo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_40898041.wav	mitford era el segundo hijo del historiador william mitford
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_35121048.wav	en el cuerpo inferior hay arcos de medio punto por cada lado
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27062044.wav	somos nosotros quienes hacemos flaco favor a nuestra privacidad
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20042851.wav	dicha zona constituye el lindero este del municipio
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27336651.wav	es un edificio privado sede de la sociedad cultural casino de torrevieja
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19597034.wav	posteriormente fernando fue hecho prisionero y sería mantenido en cautiverio durante seis años
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_31257734.wav	fue mecenas de las artes y la cultura
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_36748815.wav	lotte schultz hace el boceto y realización de la portada del programa
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21987879.wav	firefox
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27426913.wav	habita en las playas en zonas de matorrales altos donde construye sus nidos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32231139.wav	tiene iris castaño y anillo ocular grisáceo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_23951150.wav	nació y creció en una comunidad rural fundamentalista de georgia
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32806931.wav	la obra consta de cuatro carriles para autos uno para bicicletas y dos aceras
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27899465.wav	a pesar de su nuevo matrimonio barbara estaba cada vez más abatida y deprimida
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_25648116.wav	sus acciones cotizan en las bolsas de nigeria y de londres
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22104094.wav	sus suspensiones son simples pero efectivas preferiblemente en uso sin pasajero
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27029844.wav	hay principalmente dos tipos de pacas pacas en seco y pacas en verde
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27031758.wav	se funda la editorial universitaria como apoyo para la modalidad abierta y a distancia
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19688848.wav	se desconoce el criterio de selección seguido por el recopilador
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28252393.wav	ha mencionado su admiración por el artista americano david gerstein
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_30802926.wav	en el enunciado se incluyen pistas para su solución
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27146007.wav	la barbilla y la parte inferior de las mejillas son grisáceas
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22061630.wav	terminada la contienda civil solicitó y obtuvo la baja
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29307122.wav	las zonas afectadas presentan irritación y ligeras secreciones de sangre
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32440890.wav	más tarde se trasladaría a los estados unidos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19698257.wav	al principio formaron esta banda sin significados graves
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_34332370.wav	encontró seis grupos dos de los cuales son habituales de la zona
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27024321.wav	su novela vámonos con pancho villa
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_25180075.wav	al final del video se entregan las coordenadas de la siguiente ronda
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_39611830.wav	se descubrió que el capitán y los controladores no tenían licencia de operación
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27071658.wav	odell fue la última persona en verlos con vida
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32232942.wav	en la actualidad los actos se han trasladado al mes de septiembre
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_23757836.wav	el vídeo musical se estrenó mostrando a los hermanos con su respectiva pareja
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29207568.wav	the beatles grabaron la canción en siete tomas
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_26977345.wav	adoptó como único símbolo de su autoridad una corona coronada por un cuervo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29208903.wav	se desempeña como mediocampista de creación y debutó profesionalmente en rosario central
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27317937.wav	esta sustituyó el servicio personal por un tributo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27022097.wav	los equipos de azuay los ríos y el oro
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19758479.wav	es probable que caxton fuera el asesor financiero de la duquesa
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19653039.wav	en hispania hay escasos testimonios conocidos por la epigrafía
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_34014520.wav	núculas lisas para hirsutas o rugosas
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27042116.wav	autor de numerosas traducciones de obras en lengua inglesa y francesa
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32641724.wav	el edificio presenta tres niveles y un patio interior
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32231358.wav	por ello es esencial al principio no reducir movimientos diferentes a un denominador común
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21983279.wav	cinco
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_31244729.wav	parasitan tanto vertebrados como invertebrados superiores
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27063217.wav	la última de las estancias era en tiempos medievales la capilla de san luis
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_39740283.wav	y hecho este estruendo juntóse la multitud
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29361723.wav	las garzas reales suelen volar con el cuello retraído en forma de ese
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29083467.wav	inaugurada en cádiz
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20220261.wav	bombardearon a la fragata brilliant y al destructor glasgow
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_24639430.wav	fue dirigido por jake kasdan
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27061255.wav	el lanzamiento del libro se pospuso por esta causa
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27024853.wav	blue demon
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27025749.wav	entre algunas de sus publicaciones figuran la defensa jurídica
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19970369.wav	es de pequeño tamaño y arena fina
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27366352.wav	el certamen pasa de tres a cuatro días y a pausar horarios
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_23888152.wav	nomi llegó a ser una gran jedi con gran dominio de la fuerza
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_34414774.wav	esta práctica de cambiar el nombre ha sido criticada por varias razones
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22101919.wav	estudió composición con artur kapp y escribió principalmente música vocal en lengua estonia
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32232966.wav	normalmente hay un campanario cerca
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27026333.wav	de los equipos de provincias unión huaral es uno de los más emblemáticos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_37071457.wav	el caos gobierna al mundo y la gente continúa buscando a sus seres queridos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21939380.wav	uno
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19621902.wav	a raíz de esta teoría se estableció la teoría de las creaciones sucesivas
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21961351.wav	nueve
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22652553.wav	las mesas de mezcla continúan jugando un papel importante en el proceso de grabación
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28185293.wav	buen viaje rik
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_23809922.wav	todo ello expresado con un lirismo particular
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19670056.wav	en los clásicos rosarinos marcó dos goles
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21947093.wav	nueve
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_26959250.wav	hay poblaciones en la montaña de la mesa
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20315980.wav	el aparato posee una antena externa
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32232948.wav	presidió el instituto de geopolítica y estrategia
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_39572928.wav	blanco puro
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_31830609.wav	en total los romanos sumarían unas veinte legiones alrededor de ciento veinte mil hombres
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27064787.wav	el amarillo nápoles fue muy apreciado por los artistas durante siglos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19644483.wav	fue un destacado oficial de marina de la real armada española
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27160373.wav	la larga inflorescencia es delgada con flores dispuestas en umbelas
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27003880.wav	murió en prisión
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27026410.wav	pero deberá renunciar teniendo en cuenta su salud endeble
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29482836.wav	se colocaron cristales con protección solar de capa blanda de color gris oscuro
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29489616.wav	lleva el nombre de la ciudad de brighton
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28575345.wav	él no bebió
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_24920600.wav	antigua guatemala
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19688629.wav	la concentración de enzimas constituye el factor limitante
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28045943.wav	es un edificio con características de arquitectura industrial del periodo racionalista
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22111389.wav	por lo general la ley dice que la gente tiene que ser razonable
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_41863979.wav	comía detritus algas y otras plantas
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_30797556.wav	lucha bajo el mando del sargento moody y el capitán foley
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22106910.wav	la diócesis se rige por el obispo de honolulu
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20789960.wav	es la primera grabación de la banda
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28933610.wav	es posible observar los tres fases que se dan en este rito de transición
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_25240562.wav	cuatro fueron las sedes para la primera copa confederaciones en sudáfrica
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_30548210.wav	se encuentra únicamente en las montañas de colombia y ecuador
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19595743.wav	el hombre que la ayuda es probablemente su marido frank e butler
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27058377.wav	su página oficial es wwwjiaacgobar
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29140377.wav	de los orígenes hay poca información
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_34929820.wav	nunca consultaba el internet
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32003946.wav	se rescatan algunos hechos folclóricos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20258386.wav	esta tradición ancestral pasó a estados unidos donde rápidamente se puso de moda
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27029547.wav	transcurre por caminos asfaltados y pistas forestales en su mayor parte
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_33337858.wav	es un pez de agua dulce de clima tropical y demersal
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22036789.wav	siete
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19679245.wav	mientras que su densidad poblacional es de unos veintisiete habitantes por cada kilómetro cuadrado
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32231069.wav	sus flores se utilizan para la producción de miel
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_28812685.wav	estos bloques cubren las versiones monoplaza y las versiones biplaza
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27026863.wav	describió muchas nuevas especies vegetales
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19951528.wav	los exteriores se rodaron en la provincia de mendoza
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19658146.wav	la princesa maría carolina y la princesa maria chiara viven con sus padres monaco
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19659093.wav	copias promocionales del álbum nunca se pusieron a disposición
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19668470.wav	hay una partida del presupuesto municipal de cada año destinada a esta finalidad
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19950362.wav	los juegos de jugador cuando uno de seis rangers
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21990523.wav	ocho
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_24015624.wav	los números sólo toque a la temporada de pesadilla jarome soportado
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29278856.wav	los festivales en las villas son realizados de enero a julio cada año
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21963244.wav	cinco
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_26946381.wav	a continuación se describen algunos de estos códigos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19602296.wav	quinn le dice a rachel que se aleje de finn
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27465565.wav	sus obras poseen un excelente dibujo y un acabado arenoso
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19610693.wav	la sonda llevaba los mismos instrumentos que la sonda venera
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_33340086.wav	noel y alec marambio formaron chico funky una banda que toca música funk
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19620272.wav	fue rector de la universidad experimental de la fuerza armada
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21996988.wav	no
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_25209761.wav	confundido y asustado elliot empieza a botar fuego contra la policía
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_24364023.wav	es el primer sencillo del álbum scare force one
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_37822804.wav	el pilar de hierro es uno de los fenómenos metalúrgicos más curiosos del mundo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19957946.wav	el cual participa en la liga deportiva de niebla junto a otros equipos locales
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20245673.wav	la extensión del nombre es por motivos de publicidad
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27384630.wav	estudió en el colegio de la inmaculada de lima
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22125755.wav	fue el primer edificio de praga construido con hierro forjado cemento y cristal
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_36950440.wav	muchas de estas líneas comparten kilómetros de trazados con otras
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22198773.wav	dentro de los anales de la historia el tributo ha tenido varios periodos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22039439.wav	siete
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22497619.wav	al estallar la segunda guerra mundial trabajó para la inteligencia en el almirantazgo británico
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_39758226.wav	son grandes y comestibles que se pescan como deporte emparentados con el pez espada
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19639370.wav	algunos de los oficiales actuales pertenecen a esas pasadas generaciones
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22208111.wav	el álbum fue lanzado sólo en línea
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_33052459.wav	mientras vivió a beza le interesaba la educación superior
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_29493890.wav	es considerada una de las bandas dentro del panorama del rock urbano más exitosas
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32817586.wav	esto lo convirtió en el segundo descapotable más rápido del mundo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_33296718.wav	educado en la fe católica abandonó esta iglesia en su adolescencia
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_30238642.wav	tiene destinos en toda italia europa áfrica y brasil
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_25652323.wav	junto a la actriz marcela valencia fundó el teatro petra
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21963687.wav	no
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_21942424.wav	cuatro
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_25052673.wav	fue catedrático de la escuela nacional preparatoria y de la escuela normal de maestros
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27027473.wav	el nombre más específico para este artefacto es radioreloj
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19637444.wav	helene costello era tía abuela de la actriz drew barrymore
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_27040786.wav	igualmente los colores son brillantes y radiantes sin ser totalmente llamativos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_33349452.wav	vive en ríos y lagos
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_26946578.wav	se ha descrito en arcilla asociada a un movimiento de falla
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19636856.wav	la intención de este ataque era dañar la capacidad militar iraquí
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_26997509.wav	se revela que iba a competir contra jun
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_20069148.wav	su trabajo fue y sigue siendo publicado en todo el mundo
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_32235404.wav	el ramo superficial se divide en dos nervios digitales plantares
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19657814.wav	luego cursó paralelamente teatro y trabajo social
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_24999487.wav	un destacamento de policía se encuentra lindero a la estación
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22044087.wav	tres
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_22148778.wav	usualmente permanece sentado bajo el trono del mayor como si fuera una mascota
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_33341132.wav	minority firmó con sony computer entertainment para la creación del videojuego
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_19631177.wav	su fichaje por el valencia club de fútbol fue un tanto curioso
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_41987056.wav	es reconocido además por ser el club saudita con más socios del territorio
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_34006076.wav	glyn johns es padre de ethan johns y de andy johns
data/common_voice_es/es/fine_tune_01/clips_wav/common_voice_es_30749767.wav	todos ellos precursores de los gigantes y cabezudos
