sentence_id	sentence	sentence_domain	source
04591f78cf83f135b530ce6a889b96f8c4b632f605fecddd43c497d1be9b262c	Entonces los que están en Judea, huyan á los montes;		Reina-Valera Antigua (RVA)
04792690ff8bad6842820fb0555d960976c88cdae7f2f2da9231fb20ffdf73d1	Entonces dijo: ¿En qué pues sois bautizados?		Reina-Valera Antigua (RVA)
04aa6de49764b7646e8138065831c171280a5b5818ad2a74d434a9cba0505379	De mil heroes la patria aqui fue.		spanish national anthems https://www.lyricsondemand.com/
04c62679ce71022e5fdcb85ccc380b0027730b231deb54dac0002beb9b54f35f	Aparta de mí tu mano, Y no me asombre tu terror.		Reina-Valera Antigua (RVA)
04c78f990ad0405ff0cf4835f9284b87ba1fc1e73e446d38cd0955bd0b329d3c	Fend-le un cenyo a'l mosen, pretan a almorzar ta casa l'alcalde.		Autocita
04e39b1d519304f48edae33ca7250bb957b37de737154d86ab5d912e9e70aa27	Y la concupiscencia, después que ha concebido, pare el pecado:		Reina-Valera Antigua (RVA)
04fef53c31676181039a0c95bcdcd0079e4eeacbe7910ee8c56b4de91ca2d4d8	Cara al sol con la camisa nueva que en rojo bordaste ayer.		Autocita
05141b73acca35f4378bb39a9b981ad4b242896dec81ad475e26589f1d3f506b	Como oveja á la muerte fué llevado;		Reina-Valera Antigua (RVA)
053d3e03cb00acab50a7b26c7ab91efdd474ca07b54725c820acf02d122263bf	Si tú, siendo Judío, vives como los Gentiles y no como Judío,		Reina-Valera Antigua (RVA)
0599768a3862e3a291dd84b01e40bbcbbbaae30c73e0fe38e75a56d5288fd4ac	Que nos amemos unos á otros.		Reina-Valera Antigua (RVA)
05b16b8220d4eaa415de7279c8a0f19cfe8f7843fdbe38e75143ce72ef313700	La enfermedad por Hib es muy grave		cdc.gov
05c9d2cabbcb948d66e1e346d5e81470d105ca3d339f3358e48e46451e582d8e	Porque á los que están fuera, Dios juzgará:		Reina-Valera Antigua (RVA)
05cbc2c828b293a2751831531b73aa19eff137b24403997a2e343b01bdaecf11	Actualizaciones sobre la influenza:		cdc.gov
05db968e9714be6d59c023fddb1e75537e004b8c8aa43a97016cce1df829702c	ante un huracán, una inundación o la rotura de una tubería de agua		epa.gov
05e22e1791c95f574402eb4a6c25523e8f3733939fcb6feef6238e83bf93554a	Aquél pues, que vosotros honráis sin conocerle, á éste os anuncio yo.		Reina-Valera Antigua (RVA)
05e7ca8df10eab5c7831d7a910c8bd70dba783be8c13f6a6ac14e62b0c733703	La plata, ó el oro, ó el vestido de nadie he codiciado.		Reina-Valera Antigua (RVA)
05f1eabe3895cd1e71906511eab8884307b01f677f6d98ca724699e2deef3c45	Y entró en casa de Zacarías, y saludó á Elisabet.		Reina-Valera Antigua (RVA)
06079421c59c41c863e6f0493be1d1452e9fa383f31512be2e192b9dd08c1bd3	Holaaa		Autocitación 
0608554becbf6e483b690923c6fce4fd950855242cd49f2345e1caf32fd9e207	Los patrios pendones en las olas de sangre empapad.		spanish national anthems https://www.lyricsondemand.com/
0617e43b904fb430e19186edd7bf8f8f4923887324c5e99d5f35f5f256c3577c	Alcanzamos por fin la victoria En el campo feliz de la unión;		spanish national anthems https://www.lyricsondemand.com/
061cfbbe3abec60c3ec3c7e421997b81357524f484ee3b7e8ef9fdb1ab3599fb	descienda sobre Ustedes.		order of mass
06588c50b361aec1ae0dab6bfe723e1f2a7e7246df97850ff40a5c6b8a049cec	El sol d'hibierno se fa de rogar pa sallir pe'l alto.		Autocita
0663cd1cf3bb790b495fb26dcb508b1435571900df1c9fd6c2e9e478b4f13170	pero que no le		cdc.gov
06e83ea9f659cc3e708e590cd924c4aab3e182a44b8cb9a05893d24191fc6d64	Pasaron cual navíos veloces: Como el águila que se arroja á la comida.		Reina-Valera Antigua (RVA)
0737f83d25daa171a4c723d61e6aab703b078a393849d1f39c98cf3a04d1df0c	Ha veniu la suya prima?		Autocita
0767fb6ba205674bb9f6850c96be62545c8180e15d07bfa05d33b748589f0382	Y tu cir.		spanish national anthems https://www.lyricsondemand.com/
07a9dfd81614e4c618178a1f3bbd5b1fed01d3bc7c96772e071887ce83c0ff59	el Pichincha decora te aclamaron por siempre señora y vertieron su sangre por ti.		spanish national anthems https://www.lyricsondemand.com/
08c4a4fdd64fe84d1fbccc0c9d0301b72bc2a97d8fcbc5e4ac352a2b601680fb	Y a tú no quiero sentir-te ni tartir, que prou estrapalucio has montau.		Autocita
094edec6fe1ddb95fe6368d22577a8dfbde69c703b59a77890ed34dfd30fea97	Ha veniu sola?		Autocita
0a4efe3268599c1cefed8c2d0a8fbb68896ffd0c01c2102029e88758c3bdb769	Pero rai, que toda pedra sabe fer paret.		Autocita
0a6c98389f49e13403645f92b57fc3f40119404162edd92f1fffc490e32eabcb	¿en dónde los rectos fueron cortados?		Reina-Valera Antigua (RVA)
0a6d4df7f568982f335d1ed302f99f4abd2db66edc74e09a49db837f227a80c0	Bel día te foi una inspección y verem que tiens per la bodega.		Autocita
0a74686883bc0ea7a59b6daa2aa2ceee7ba79431f30850ece76e45239d24f2aa	Y cuando él visitara, ¿qué le respondería yo?		Reina-Valera Antigua (RVA)
0a83b42a143419509099774abe0f6ebcf057ad342d5e64bb0ac430d39fbb9fa7	Y ellos pensaban dentro de sí, diciendo: Esto dice porque no tomamos pan.		Reina-Valera Antigua (RVA)
0ada735c9ed94a78b281c909743373c11d6d510755df1cc93d5bf734b39356a4	Si hasta ha chafarnau las macetas!		Autocita
0add8d60dd8519c63d56b142a3b5f33bd4d34b832a17b3dd6ee5acaca2238dc4	¿Que arreglos realizó la familia Almonte para ahorrar energía?		https://www.energystar.gov/
0add8f51106a5533a809a98c8d7746ec421223f69224a04eb5c2322f0ae0ce38	¿Harán de él banquete los compañeros? ¿Partiránlo entre los mercaderes?		Reina-Valera Antigua (RVA)
0af66dd33dd150d64a12142abc116b13b353692445dcb1e32e06bbf8a48269de	Y los espíritus de los que profetizaren, sujétense á los profetas;		Reina-Valera Antigua (RVA)
0b080df86bcda0c0873c132f4723aa31c56b0098cfdb4e967dfcb0d088a20530	Y he aquí les aparecieron Moisés y Elías, hablando con él.		Reina-Valera Antigua (RVA)
0b3af7a25c02f02f400fea66bdc3efb8bf994847a43cc4433eafb47d34342b7b	porque esta es la voluntad de Dios para con vosotros en Cristo Jesús.		Reina-Valera Antigua (RVA)
0bb60b1544f36d585b1e82422d973f26e7130beb774b1993d3bbfd1de0bfdaa5	Un nyudo n'el garganchón no me dixaba alentar.		Autocita
0bbe22fc317b211ed54d641fca73506bdaa66a4d817c8e55fc573249b50a5eae	El cristianismo y la cienciologia comparten el objetivo de estafar a sus feligreses	general	autocita
0bcd43e3dc7fcbc28a6b46fc0d8128c829db28c17c87aa7a62568d236f33d77e	Restituirá el trabajo conforme á la hacienda que tomó; Y no tragará, ni gozará.		Reina-Valera Antigua (RVA)
0bd6c9f047280ad52cb99a54307917f800a2139a1a77d48125b74132438807a2	El león está en el camino; El león está en las calles.		Reina-Valera Antigua (RVA)
0c275e87c7e96e2e5954a97bb116ef2bfabd251751c9011ada8ec9c1903e48f7	Ixe pllaneta perdiu en un brazo d'una galaxia en espiral.		Autocita
0c6139fe9f7e6d1dd0f0c44d654d754c04eab8052cd359cd167a2a76fa270256	El entonces respondiendo, le dijo: Maestro, todo esto he guardado desde mi mocedad.		Reina-Valera Antigua (RVA)
0cf129b72e49344d8d4c57ba350f5bf3fdcc9e5ea48277ce43503784fbc6b506	Ye tan gran que no te podrás veyer farto.		Autocita
0da92f349ed59f9c439b2dd8126f7630efb3648f20ccf528db431e7f4e08f446	Desde los cielos miró Jehová; Vió á todos los hijos de los hombres:		Reina-Valera Antigua (RVA)
0dbb8ef604303a6ca1e413a80f3aa5207df3375a32d2242f4463afc33995778a	Pues si David le llama Señor, ¿cómo es su Hijo?		Reina-Valera Antigua (RVA)
0dbecf8b56327da10479795502db29338e112ec9e980a9b68e802d66cd8fe7cf	El que guarda su boca y su lengua, Su alma guarda de angustias.		Reina-Valera Antigua (RVA)
0ddc89b6cfee70c64429ba38b3f23cda3560de86b3f406abdf58484a9378b464	Vida y misericordia me concediste, Y tu visitación guardó mi espíritu.		Reina-Valera Antigua (RVA)
0deb9697adca3b46116da4c7c31d9f809b3c657583da1a51df342e942563ee2d	Siempre que llovió, paro.		Autocita
0e1a7b98c88c77d3c70271889ab633145120e873195996c7d5d5c20fe6507a61	Porque, hermanos, vosotros mismos sabéis que nuestra entrada á vosotros no fué vana:		Reina-Valera Antigua (RVA)
0e2e46490cd6234b8c3e937fd4dbaf875476baa110c0306ce240b68529769bb9	Lo que se mama de nino dura toda la vida.		proverbs https://foxhugh.com/spanish/104-spanish-proverbs-and-sayings/
0e3de679688f2ef9e779de5608a6310cbd72ea721f74553898220e2c46ac3d9c	¿Has de poner tus ojos en las riquezas, siendo ningunas?		Reina-Valera Antigua (RVA)
0e4ac6757220280b525b722e889ab611d157f4b0582720cc3e88456e6ea330e4	Unas veces de fuera, ó bien por las plazas, Acechando por todas las esquinas.		Reina-Valera Antigua (RVA)
0e5fb0f5cb783839f48cee37df5e695ff0ebe6bd14755fb61efddc2231874df6	Los justos heredarán la tierra, Y vivirán para siempre sobre ella.		Reina-Valera Antigua (RVA)
0e6d7b4c7947734e5b2b20e36f504748365baca856d216261f9a868649ff5f31	Los conejos, pueblo nada esforzado, Y ponen su casa en la piedra;		Reina-Valera Antigua (RVA)
0e93b8ffa2b2610b563c8695d8154253244b7c59c91d36d40378a95811837b8e	Estos fueron en los días de Joiacimy en los días del gobernador Nehemías escriba.		Reina-Valera Antigua (RVA)
0e9d8ccb20933a1e9dccbf9a6382e552c423b881b8afab7cfa8924583df292df	¿En qué aconsejaste al que no tiene ciencia, Y mostraste bien sabiduría?		Reina-Valera Antigua (RVA)
0e9fe2f3eb0d1dd145f902859397b542fb159d578f4816b19c6757f77ed4d7b0	¿ó menospreciáis la iglesia de Dios, y avergonzáis á los que no tienen?		Reina-Valera Antigua (RVA)
0ed20ae4dbe296b860d60c22cb64d1c9cd5787a22101a8042357685bffd92e82	Toda la vida s'ha chugau a'l guinyote a iste porche.		Autocita
0edaf62c1f130dd0fa2f77f9ee244406bfd989267a5bf509a8daa916b33aa6de	Ben lluego, como un miraglo, va sentir que la mía sangre se templlaba.		Autocita
0ede4ccdb5a7d109a994f7da5ee27bc3bd20157164a72c2b4e8f9d9d9386b7cb	Mi rostro está enlodado con lloro, Y mis párpados entenebrecidos:		Reina-Valera Antigua (RVA)
0efd2178396c4b2934412dda205a10431bcb8d60324f297cad4bb446ac729baa	Entonces les dice: ¿Cúya es esta figura, y lo que está encima escrito?		Reina-Valera Antigua (RVA)
0f089baf9713ae147641183f7c6b2379cc14d24a913ca727d50a07b65b2d41f7	Espantáronse, no respondieron más; Fuéronseles los razonamientos.		Reina-Valera Antigua (RVA)
0f21c3ae23c56f72e2b27437444b6344a8d26f28047e58b637e797683126bf13	Rinen a menudo los amantes, por el gusto de hacer las paces.		proverbs https://foxhugh.com/spanish/104-spanish-proverbs-and-sayings/
0f221879c3b256367da9cb6c888fa80f8077ff6f5ea3047888c723b076689e32	Mas creced en la gracia y conocimiento de nuestro Señor y Salvador Jesucristo.		Reina-Valera Antigua (RVA)
0f43a3850bba8ffc11770a7c342e6fb39ab7433cef662ade9fafcfae61cce5e2	L'auto-llinia seguiba rodand en un tiempo infinito.		Autocita
0f47fd1b2cbc3f578a78acf5cedc13112de01bfeb1b41d166bf2d4efd88c14e1	Abominación son á Jehová las pesas dobles; Y el peso falso no es bueno.		Reina-Valera Antigua (RVA)
0f524a47709b3ed4fbf1c9f79c4653aa9b9d70b46421e9beff2ee86cc00f6079	Toma ahora la ley de su boca, Y pon sus palabras en tu corazón.		Reina-Valera Antigua (RVA)
0f7254d7aef8221d7f2865512a5948d152bc48a75e734ee48f8cf0e951a12cf8	¿Cómo, pues, se cumplirían las Escrituras, que así conviene que sea hecho?		Reina-Valera Antigua (RVA)
0f83d25fb4e5da45af4fd6e1f69abfa942388e7b0c9170cdf09ad16739fe7e89	¿Por qué te abates, oh alma mía, Y por qué te conturbes en mí?		Reina-Valera Antigua (RVA)
0fa0d29da982c2fa10d823ea871927b83416e0f807afea8efdfae40d1936a926	De cabo cuan salliba con ells a repllegar comida pa las crías.		Autocita
0faad4b850a55689b7c90e06eb7650513042202878f2b8ca1558d0a31b8fc394	El hierro estima por pajas, Y el acero por leño podrido.		Reina-Valera Antigua (RVA)
0fb80aee4e52873c79a6f49238161b4ad135722d59a0692cb93715bd7940f1c7	Así hace retirarse á todo hombre, Para que los hombres todos reconozcan su obra.		Reina-Valera Antigua (RVA)
0fba60d0d2de8c57b7bf52a35417a8f47e70aba650f2c88fabb0fd948beb1980	He montau a'l suyo auto, y no ye pas iste.		Autocita
0fbbf6a565658da5d9f9b9b651874646d211fbe1f64390a5483f905297748958	Gracia sea á vosotros, y paz de Dios Padre nuestro, y del Señor Jesucristo.		Reina-Valera Antigua (RVA)
0fbdc0c3bfcebe21237db87dfd35e554ac580b180960593006e6215137280f15	¿Os es lícito azotar á un hombre Romano sin ser condenado?		Reina-Valera Antigua (RVA)
0fe0ef7cebc63df3c5bd1592d3c0570b14d0da456f24d6ae56af9003cb1694f8	Así que, los que están en la carne no pueden agradar á Dios.		Reina-Valera Antigua (RVA)
0ffafdf9d1d8717f183fdef6288a973243e99907d49da750b4418bbd030f5f08	El primer humano mascllo d'ixe pllaneta se va esvoldregar sobre ella.		Autocita
0ffcacd8b8396c74bef2939655ff0ff497b018ec6af55ba183948068c8dcc874	¿hasta cuándo os tengo de sufrir? traédmele acá.		Reina-Valera Antigua (RVA)
1006ed4c5119471df95b4dd0ea3981c34a083c2661e3bdf45bb3bc99f120280b	alert		cdc.gov
101cf7ffdc5903adb4964d679fe1fa1df2a42be1f232f5b8ba39560fc95a8b91	Si fuere malo, ¬ay de mí!		Reina-Valera Antigua (RVA)
10418fc90a0734624b1320d0ac4fa46c3c2e91e60610b9515cba15b812975f1f	Y si queréis recibir, él es aquel Elías que había de venir.		Reina-Valera Antigua (RVA)
1073198571a39a4e6ca143f3caee5bef94143e514965529a71254e11b5318c0d	Un ardor inusitau feba que el cuerpo s'esvolutase esbarrancau sobre la yerba.		Autocita
107ee6af1ce9e8802631186b4a1e916649311a2428328dde33ea0338e070cdb5	Por tanto denunciaré mi maldad; Congojaréme por mi pecado.		Reina-Valera Antigua (RVA)
108411c0e76720a6b4dce27f208f208dc34511dc741657bd6f1103daa007dd33	: Yo de cierto soy hombre Judío, ciudadano de Tarso, ciudad no obscura de Cilicia:		Reina-Valera Antigua (RVA)
10d032486a824d4fee86aa0b58f9b03ac9dd4f1cdc3822400a4af75508501f5e	De todas partes lo asombrarán temores, Y haránle huir desconcertado.		Reina-Valera Antigua (RVA)
10e7a499048ee07f7fb3696a92c738ef88784cc0940d35413c80779edfdca9ea	Empero hagáse todo decentemente y con orden.		Reina-Valera Antigua (RVA)
10fdc0d3939da4857305d8b99ce3b7f10fc7ed63993329c65421b261edb62004	Y la oración de fe salvará al enfermo, y el Señor lo levantará;		Reina-Valera Antigua (RVA)
1132a51fd1232cb876ea88329830a220c218962b24c3e0c560283ef55cdc2533	Astí el tiens,le diz la raboseta.		Autocita
11595c1d912c20e544aef6caefc4a13e0a609eda59bdd3143fbce19a063b661d	Y os dirán: Helo aquí, ó helo allí. No vayáis, ni sigáis.		Reina-Valera Antigua (RVA)
115d8f97ac73e1acd29d999f2b9308c77a99d9e6da7f1998524a773587d691ca	espadas cual centellas fulguran en junín.		spanish national anthems https://www.lyricsondemand.com/
117fa23d8000fdbb97f87c6e3cef4cd6be30596be7c2e55586b9a402bce0a4f1	Y volviéndose á ir, oró, y dijo las mismas palabras.		Reina-Valera Antigua (RVA)
1186f8ac069049b4102fec4cac7223c0db7faad52a646288979d578e5942d717	Pero los mansos heredarán la tierra, Y se recrearán con abundancia de paz.		Reina-Valera Antigua (RVA)
1194fbc4d27813086a2cfdb23c252f4d713d8bb32455640a3095a1b95ca36cc0	De noche taladra sobre mí mis huesos, Y mis pulsos no reposan.		Reina-Valera Antigua (RVA)
119ef46aff273680420f830391d1c66ec673127f6f8779f4d6620941637cc933	Ben estaz de llocos!		Autocita
11a90f6869adeaee2fccad4b2d1ae49b671fa0faa3cde18e63d37f9245ee77ba	Escojamos para nosotros el juicio, Conozcamos entre nosotros cuál sea lo bueno;		Reina-Valera Antigua (RVA)
11d1471ce0257a78056ce51aa93fda5ef252ebe9e9b2feebd44e7dc1d34bbdd4	Porque en muriendo no llevará nada, Ni descenderá tras él su gloria.		Reina-Valera Antigua (RVA)
11d534b26596a3c63dce5b8109865c23207c5651a5e4b8feca81fe0f2d4bba45	Ayuno dos veces á la semana, doy diezmos de todo lo que poseo.		Reina-Valera Antigua (RVA)
11f0c6906ec4beb717bdf41a907213ca98c84425c2b8a13ccb205cdd210f4423	Así que, ó que vivamos, ó que muramos, del Señor somos.		Reina-Valera Antigua (RVA)
1201f4f287067c7aa5c52ea377b46e1ad95ed13d65a1a0b9e17bacd8c6f42c51	commonvoicemierdaa		commonvoicemierda
123faad5bac09e78b9c2628ec6d3b25e1c378c1d17c98a21fb0ee7fbbafcd7ca	El os reprochará de seguro, Si solapadamente hacéis acepción de personas.		Reina-Valera Antigua (RVA)
1269ef7ba9d7f9956a278844781d677ac2d4a8fb50d6d622e055e232b343d7f7	no os hagáis muchos maestros, sabiendo que recibiremos mayor condenación.		Reina-Valera Antigua (RVA)
127b52705f5eb9fb5a6e336a8d08c4e303554113d70c7bfe1dcb0602ed3798e8	El justo eternalmente no será removido: Mas los impíos no habitarán la tierra.		Reina-Valera Antigua (RVA)
1280dcb0730414da21ad530e0fbcadc3968b7c99f61ca642ea86e6ee9352a7f2	Entonces Pedro, poniéndose en pie con los once, alzó su voz, y hablóles diciendo:		Reina-Valera Antigua (RVA)
12aac3a2664e44aa2dbff182ec9ee199f3b8e6f2ffb777e63efe177cda272f2a	Cómo ye ixo d'el queso gran?		Autocita
12e2915cf47f14aa449aa21f682fc4a87c1806ab137c7a4e13d30e837c688e4a	tus sienes de olivo De la Paz el arcangel divino,		spanish national anthems https://www.lyricsondemand.com/
12fe878f3e46a9a6050bba0c2e9413fc6899469f6c1429334d81beb69c57f647	Quí ye el duenyo de l'auto?		Autocita
13688662d40afe17bd7637dd0d1bc647cbe171dd8a070bd4fa7c5c3879877f6a	No n'hai manera de agarrar-lo.		Autocita
13ef36c319293a97ac962da54c821167d7fb9c788a79187725854e5ef678bb77	Se sulta a volar como las alas d'una cardelina.		Autocita
142ba412337b56a9fb6f547e61c3007d0d65fefa9b31929913d67663386c113f	Antes que los montes fuesen fundados, Antes de los collados, era yo engendrada:		Reina-Valera Antigua (RVA)
14569659b27fe575316eb4ed3566cf0c79bf43b150e3078549e4c430f8b8cd7b	La oreja que escucha la corrección de vida, Entre los sabios morará.		Reina-Valera Antigua (RVA)
1487d5a75b3dcedb7225c2f93475e6b5c0a325cbb2b24ebb94c487eeedf19aa5	El cual fué entregado por nuestros delitos, y resucitado para nuestra justificación		Reina-Valera Antigua (RVA)
14a86130b284550cd3afbf103a28036755ee3f28e548ed38687ed08cb2aba1e5	Le diz con el dido apuntand a'l centro la basa.		Autocita
14ba2e329740d85bb2d646bfd8eacd3f6728b2eb860c439ed8d4afd47ea14a37	De los hijos de Judá: Athaías, hijo de Uzzías, hijo de Zacarías,		Reina-Valera Antigua (RVA)
14c406d6ef8611c69c0b31f9f8b003f30f308b841abe713dcaeb4c471318024b	porque el día la declarará; porque por el fuego será manifestada;		Reina-Valera Antigua (RVA)
14c77689a029440dc151dd4234f340e654dcb7ee1642a055f5aff57f86c4077a	Porque en vano se tenderá la red Ante los ojos de toda ave;		Reina-Valera Antigua (RVA)
14e34ffa997c0e147b2d287288c1b847b6376f90f9f61fe71d7fdc2fb0c13649	Así que, teniendo tal esperanza, hablamos con mucha confianza;		Reina-Valera Antigua (RVA)
14e9814525701032fdaa3ad6c988d33962ba8fd8b88bae25eda90442b0caebfe	Es palabra fiel: Que si somos muertos con él, también viviremos con él:		Reina-Valera Antigua (RVA)
14ffaf1da886770ec0fcefc49507566a331c9b3e49f707f4a92dc728ae31105f	Los simples heredarán necedad: Mas los cuerdos se coronarán de sabiduría.		Reina-Valera Antigua (RVA)
1503dab3b9a88b73ff987bfe30297e968ae669342094421393a6250069973d51	Entonces Moisés mirando, se maravilló de la visión:		Reina-Valera Antigua (RVA)
15410fb4f9c0bf77ac2e63a983005bc00828f25315b16302a389b8018f32a5c1	Si queriz saber lo que va pasar ixe día, de seguiu to'l contaré.		Autocita
1554375232f11e1609eba228d52228a31bfa89bfe97e6caadaee9c56caf0ceb1	La sabiduría edificó su casa, Labró sus siete columnas;		Reina-Valera Antigua (RVA)
156c19b422c15e5b156a48e186104fe3acbbaaa4bf64dd5c30e67f876d8cba71	Si alguno parece que tiene de qué confiar en la carne, yo más:		Reina-Valera Antigua (RVA)
15716ed54bb8a4fea681b6ae9e9cc3b4487219c08f4d163e66f768114d8192c2	Trasmúdase como lodo bajo de sello, Y viene á estar como con vestidura:		Reina-Valera Antigua (RVA)
15776cdadffc02796c99f5f43560b1c3a9b9db9853c40f1d8ab2e5114bd5ae58	Dadle el fruto de sus manos, Y alábenla en las puertas sus hechos.		Reina-Valera Antigua (RVA)
158ace8a8ed3e6356b031a933cbe590469a12d98dad1e1fbc42c0ea3651fcc7f	Un maitino, pasiaba per la selva y trapuzó con una colla de bonobos.		Autocita
15a78881f51ff0e62dd6673a67c8fff75e16e05f08b76011bf54248d4c198f0a	Comunicando á las necesidades de los santos; siguiendo la hospitalidad.		Reina-Valera Antigua (RVA)
15c61cf1d1b4299e0a5dbc7a0a5712b354ae3496ff014b5a7eb79d2910be1dd7	Levantaos, vamos: he aquí ha llegado el que me ha entregado.		Reina-Valera Antigua (RVA)
15dbc8faa54a4ba3f15064e3f68f49abbde3a46a2e9063e41a9c9f938b1cd0d4	Pues os digo que uno mayor que el templo está aquí.		Reina-Valera Antigua (RVA)
15e2be522714a3a933209d96f74a0a494d26f62e3b3d274567ddaaa21934742c	Y también si os preguntare, no me responderéis, ni me soltaréis:		Reina-Valera Antigua (RVA)
15ea6b86854a31ec1d3c16dbffddb0a356f928fa2cdeaf4e496df999a19686b7	Para hartar la tierra desierta é inculta, Y para hacer brotar la tierna hierba?		Reina-Valera Antigua (RVA)
15ea7092a53180175d772e1032db2766ea4f452c8851fdf11891102fb05b9aa2	Que onda gente	agriculture_food	Ondaaa
15f1f9196c10a11213c071989f50c52cea923e59dc57ce8ec131b2a9d03b595e	Oh si fuere aquella noche solitaria, Que no viniera canción alguna en ella!		Reina-Valera Antigua (RVA)
160242a4a8aacba6a97d077fdcc888b1194dc97b903f63a74c4e20a1ae15c489	Por Cristo, con él y en él, a ti, Dios Padre omnipotente,		order of mass
162c7227ea3d210828b4861fe06ea1552cffd01f645237a64f19ba97c0568bb9	En no mes de siete días ya el teniba tot feit.		Autocita
168f07ee4c6f48832be64e8b78b8afd48d4608c212051fffed1c7ac61e152960	Porque con una sola ofrenda hizo perfectos para siempre á los santificados.		Reina-Valera Antigua (RVA)
16905517bf86b6f9bbb865709869c4e90415d85ee4936fa70c8349beae64f08a	Y sus discípulos le preguntaron, diciendo, qué era está parábola.		Reina-Valera Antigua (RVA)
169de27d553a244832d9a377d213370f4857c4d86743e24522caea9d23337bd5	y á sus perseguidores echaste en los profundos, como una piedra en grandes aguas.		Reina-Valera Antigua (RVA)
16a21ac07903e4b279b4b6ff7df9e9183ab414a3d1771013205823313a36ab7b	y éramos por naturaleza hijos de ira, también como los demás.		Reina-Valera Antigua (RVA)
16b3978a3335956035666e568b52dd97d53c70f8536624fbd1511346da5249c4	Ahora ciertamente como ellas sois vosotros: Que habéis visto el tormento, y teméis.		Reina-Valera Antigua (RVA)
16be5d6c219bee1e47613e70097d70ff3c822d79feca596e0b1649514b5f2d5a	Porque al que ama castiga, Como el padre al hijo á quien quiere.		Reina-Valera Antigua (RVA)
16cb5064fdfd561192a965efff69770c2cefa3c7da1ca8072c7bd53c5881ad57	Saben dulces como l'amor viviu, y acidas como la muerte que aspera.		Autocita
16cc3339b0fee3acd5be3a269b928806cb58bc3091be01a0602cc97186d1cd7e	Manifestéme á los que no preguntaban por mí.		Reina-Valera Antigua (RVA)
16cd00ccb817b6d34bab5f97425faaeb63313feb81c712ed2ddcb3235c98b516	Confia en mi, te darè una cantidad decente si creo que vale la pena		https://hf.co/datasets/nyuuzyou/chatgpt-in-russia-qa
16d0cf6617f65a16c10f1c3bbf796e653acf7499a3bded047efc5943e87dfb55	Guárdate tú también de él; que en grande manera ha resistido á nuestras palabras.		Reina-Valera Antigua (RVA)
16ee2560a0e7ce32ab71c9af618c3bc50695354022f9868205ace90329d693c7	Tomen y coman todos de él, porque esto es mi cuerpo, que será		order of mass
